file_path,feature
Mark Eliyahu - Journey.mp3,"[-2.6581094e+02  1.9464435e+02  1.3418105e+01  6.6622591e+00
  3.4290807e+00  9.1463747e+00  4.6215234e+00  1.0237295e-02
 -5.7298541e+00  6.3732643e+00  5.3454237e+00 -6.6857725e-01
 -8.7708503e-01]"
Nostalgy_44349667.mp3,"[-2.6908667e+02  1.4268764e+02  8.6365051e+00  2.3836416e+01
  6.3213468e+00  1.3249284e+01  3.2324305e+00 -3.1114025e+00
 -5.3582602e+00 -6.6151304e+00  9.3042478e-02  4.9335399e-01
 -3.2288604e+00]"
eliyahu.mp3,"[-2.1410846e+02  1.8895517e+02 -3.7021737e+00  1.4830185e+01
  1.5677794e+01  1.4289115e+01  1.4051188e+00  1.9473581e+00
  7.9065718e-02  4.2825394e+00  9.2358541e-01 -5.2471232e+00
 -6.6951761e+00]"
Belaad party.mp3,"[-145.49756    130.85109    -16.217552    40.485935    -0.8425274
   24.192488   -15.7275915   11.511103    -0.9880127   -7.6616335
   -6.3078094    4.549763    -4.480926 ]"
Kalagha_m2Q84K5Rf0Q_140.mp3,"[-1.4657422e+02  2.0108545e+02 -5.4233856e+01  1.4108892e+01
  4.7538667e+00 -1.3478928e+01  1.6259000e-01  2.4536710e+00
  4.8287091e+00 -3.2887847e+00 -3.6219993e+00  1.0638678e+00
  3.3884714e+00]"
Mohsen Chavoshi - Hamin Moonde Bood.mp3,"[-137.2376     156.63919    -11.9562845   34.815903    -2.4408998
   15.095189    -5.5316668    7.6834736   -2.227298     3.3007214
   -1.8776629   -2.0032299    1.2201511]"
1|1_Be_Chizaye_Khoob_Fekr_Kon_Think_About_The_Good_Things_Bomrani.mp3,"[-180.36835    167.41077     -8.510345    28.67625      4.7188163
   19.18344     -3.761153     4.8876333    3.3336456   -0.5964256
   -3.3149347    2.1236022   -3.8753524]"
Hadi Pakzad Yani Che.mp3,"[-1.6444673e+02  1.6094861e+02 -2.3587193e+01  3.2956882e+01
 -1.6600416e+00  1.2105616e+01 -7.6805506e+00  1.0039762e+01
  2.9111209e-03  5.9525366e+00 -1.0947555e+00  1.4059879e+00
  1.6490414e+00]"
Hadi Pakzad - O Negative.mp3,"[-116.55596    137.24521    -11.5953      27.566586    -5.5295987
   16.933613    -9.376429    10.939185    -2.6759913   -1.0887716
   -5.4076633    3.8353994   -3.158205 ]"
Hadi Pakzad – Death Angel.mp3,"[-144.74904     132.72913     -15.519468     48.085762      6.9675465
   34.062084    -16.634941     13.379177      0.52673066    6.473528
    1.0359213     2.3290594     0.7793422 ]"
Mahya Hamedi Deng.mp3,"[-236.05438    151.26286     22.149166    32.908043     3.3782754
   15.016656    -2.2578948    6.280694     8.40286     -9.976982
    9.4124       6.6218667   -1.974631 ]"
Siriya Ensemble – Sedam Male To.mp3,"[-1.9562859e+02  1.3544086e+02  1.1542929e+01  6.9591698e+01
  4.8392754e+00  2.4231081e+01 -1.2665919e+01  1.1111990e+01
 -1.5904151e+00  2.2897241e-01  1.2701729e-01 -2.2437077e+00
  7.0039377e+00]"
Postchi.mp3,"[-165.54651     141.89687      -5.9595027    29.034128     -1.9753941
   13.99862      -5.8440065     6.857176     -4.8659506     3.4383333
   -7.3106728    -2.098656      0.71766204]"
Siriya Ensemble Havaar.mp3,"[-149.48297     145.94176       3.3318326    43.66269      -2.2461128
   20.570604     -1.7299885    13.470991      0.45276895   -5.404407
   -6.8546357     0.19485393    0.8652482 ]"
Siriya Ensemble - The Slipped Poem.mp3,"[-194.5538     146.39027      2.4240134   42.04511      2.163691
   19.08135     -2.929367     6.576248     5.9613843   -0.8666335
   -4.650436    -0.9029205    5.0148363]"
Gole-Man.mp3,"[-1.70243149e+02  1.52353928e+02  4.60901928e+00  3.66709633e+01
 -1.83639681e+00  2.70829182e+01 -1.12289457e+01  1.23149805e+01
  2.35386395e+00 -9.89649487e+00  1.30775225e+00  5.26357628e-02
  2.14279771e+00]"
1|3_Pool_Ehsasat_Hiphopologist_Ashkan_Kagan_Sinazza_320.mp3,"[-1.5255707e+02  1.3269299e+02  1.4435045e-01  1.0841696e+01
 -2.5425495e+01  1.2018940e+01 -2.0987413e+01 -6.6950738e-01
 -8.8541842e+00 -1.0919771e+01 -7.7879190e+00 -4.0926948e+00
 -7.1532950e+00]"
453524652.mp3,"[-129.98389    127.37358     15.953925    51.076275     4.128978
   31.09928     -9.278478    22.539408    -4.1400633   11.395897
   -2.340513     5.205603     6.324388 ]"
e286a44d808b4cd29b462895fe5d51db.mp3,"[-158.61853    151.6735      19.460077    20.437717   -21.854235
   13.327207   -18.057508    12.433325     6.696445     4.2464495
   -8.305605     4.8090377   -1.8132094]"
@RapRelease - Khodafezi - Canis.mp3,"[-189.54588     147.61992      28.198317     37.991817     -0.47419396
   23.009563     -0.88047767   10.1609535     2.7874718    -2.4377875
   -6.260224      4.85264       3.3734834 ]"
1391571445.mp3,"[-128.498       120.45665     -13.806865     48.244755    -13.43936
   28.880451     -6.870626     11.116662    -11.153364      1.8701618
   -7.322625     -0.68629885   -1.3761705 ]"
Shahram Shokoohi Gol Va Khaar.mp3,"[-129.54314     125.27889     -17.58315      37.296764    -10.329543
   20.611525    -15.547643     16.723352     -6.1806455     2.339563
   -8.6298       -3.41346       0.21674955]"
Shahram Shokoohi Asiri.mp3,"[-116.40651    137.8579     -16.397621    42.969055    -9.683977
   20.657495   -16.798985    17.174507    -7.04658     -1.8440728
   -8.92682     -4.244023     2.4742346]"
